Head,Relation,Tail
CP96,IS_A_CLASS,Actuators
CP96,Brand,SMC
CP96,Category,Standard
CP96,Sub_Category,ISO 15552
CP96,Bore_mm,"32, 40, 50, 63, 80, 100, 125"
CP96,Range_Spec,Stroke: 25-2000mm
CP96,Mounting_Options,"LB (脚座), FA/FB (法兰), CA/CB (耳环)"
CP96,Description,高性能米字型气缸，带气缓冲，适合通用推拉
SC,IS_A_CLASS,Actuators
SC,Brand,AirTAC
SC,Category,Standard
SC,Sub_Category,ISO 15552
SC,Bore_mm,32-200
SC,Range_Spec,Stroke: 25-1000mm
SC,Mounting_Options,"LB, FA, CA"
SC,Description,亚德客经典款，性价比极高，市场保有量大
DSBC,IS_A_CLASS,Actuators
DSBC,Brand,Festo
DSBC,Category,Standard
DSBC,Sub_Category,ISO 15552
DSBC,Bore_mm,32-125
DSBC,Range_Spec,Stroke: 25-2000mm
DSBC,Mounting_Options,Modular System
DSBC,Description,德系标准缸，带 PPS 自调节缓冲，无需人工调整
CQ2,IS_A_CLASS,Actuators
CQ2,Brand,SMC
CQ2,Category,Compact
CQ2,Sub_Category,Compact
CQ2,Bore_mm,"12, 16, 20, 25, 32, 40, 50, 63, 80, 100"
CQ2,Range_Spec,Stroke: 5-100mm
CQ2,Mounting_Options,通孔，内螺纹，外螺纹
CQ2,Description,行业标杆薄型气缸，节省空间，治具首选
SDA,IS_A_CLASS,Actuators
SDA,Brand,AirTAC
SDA,Category,Compact
SDA,Sub_Category,Compact
SDA,Bore_mm,12-100
SDA,Range_Spec,Stroke: 5-100mm
SDA,Mounting_Options,内螺纹 (标准)
SDA,Description,亚德客超薄气缸，结构简单紧凑
MGPM,IS_A_CLASS,Actuators
MGPM,Brand,SMC
MGPM,Category,Guided Slide
MGPM,Sub_Category,Bearing
MGPM,Bore_mm,12-100
MGPM,Range_Spec,Stroke: 10-400mm
MGPM,Mounting_Options,法兰安装
MGPM,Description,三轴导杆气缸，滑动轴承耐冲击，适合推料 / 阻挡
MY1,IS_A_CLASS,Actuators
MY1,Brand,SMC
MY1,Category,Rodless
MY1,Sub_Category,Mech Joint
MY1,Bore_mm,16-100
MY1,Range_Spec,Stroke: 100-5000mm
MY1,Mounting_Options,两端安装
MY1,Description,机械接合式无杆气缸，超长行程，节省轴向空间
MSQB,IS_A_CLASS,Actuators
MSQB,Brand,SMC
MSQB,Category,Rotary
MSQB,Sub_Category,Rack & Pinion
MSQB,Bore_mm,"10, 20, 30, 50"
MSQB,Range_Spec,Angle: 0-190°
MSQB,Mounting_Options,螺钉调节
MSQB,Description,齿轮齿条式摆动气缸，用于工件翻转，角度可调
MHZ2,IS_A_CLASS,Actuators
MHZ2,Brand,SMC
MHZ2,Category,Gripper
MHZ2,Sub_Category,Parallel Style
MHZ2,Bore_mm,"10, 16, 20, 25, 32, 40"
MHZ2,Range_Spec,Stroke: 4-22mm (Open)
MHZ2,Mounting_Options,侧面 / 底部安装
MHZ2,Description,平行二指气爪，最通用的机械手末端执行器
MY1B,IS_A_CLASS,Actuators
MY1B,Brand,SMC
MY1B,Category,Rodless
MY1B,Sub_Category,Mechanically Jointed
MY1B,Bore_mm,25-100
MY1B,Range_Spec,Stroke: 100-5000mm
MY1B,Mounting_Options,"Basic, Foot"
MY1B,Description,机械式无杆气缸，节省安装空间，适合超长行程传输
CXS,IS_A_CLASS,Actuators
CXS,Brand,SMC
CXS,Category,Dual Rod
CXS,Sub_Category,Slide Bearing
CXS,Bore_mm,6-32
CXS,Range_Spec,Stroke: 10-100mm
CXS,Mounting_Options,"Basic, Bolt"
CXS,Description,双轴气缸，高抗扭矩能力，适合推举和定位，防止杆旋转
TN,IS_A_CLASS,Actuators
TN,Brand,AirTAC
TN,Category,Dual Rod
TN,Sub_Category,Twin Rod
TN,Bore_mm,10-32
TN,Range_Spec,Stroke: 10-200mm
TN,Mounting_Options,"Basic, Flange"
TN,Description,亚德客双轴气缸，双活塞杆设计，抗弯曲抗扭转性能好
HFY,IS_A_CLASS,Actuators
HFY,Brand,AirTAC
HFY,Category,Gripper
HFY,Sub_Category,Parallel Style
HFY,Bore_mm,10-32
HFY,Range_Spec,Stroke: 4-25mm
HFY,Mounting_Options,"Side, Bottom"
HFY,Description,亚德客平行气爪，带滚珠导轨，高精度高刚性
RMS,IS_A_CLASS,Actuators
RMS,Brand,AirTAC
RMS,Category,Rotary
RMS,Sub_Category,Rotary Table
RMS,Bore_mm,10-50
RMS,Range_Spec,Angle: 0-190°
RMS,Mounting_Options,"Table, Flange"
RMS,Description,亚德客旋转气缸，带调节螺钉，内置磁环
CY1B,IS_A_CLASS,Actuators
CY1B,Brand,SMC
CY1B,Category,Rodless
CY1B,Sub_Category,Magnetically Coupled
CY1B,Bore_mm,6-63
CY1B,Range_Spec,Stroke: 50-1000mm
CY1B,Mounting_Options,Direct Mount
CY1B,Description,磁耦合无杆气缸，行程极长且节省一半安装空间
DRVS,IS_A_CLASS,Actuators
DRVS,Brand,Festo
DRVS,Category,Rotary
DRVS,Sub_Category,Vane
DRVS,Bore_mm,12-40
DRVS,Range_Spec,Angle: 90/180/270
DRVS,Mounting_Options,"Flange, Foot"
DRVS,Description,半回转摆动气缸，用于工件翻转或分度盘驱动
HLQ,IS_A_CLASS,Actuators
HLQ,Brand,AirTAC
HLQ,Category,Slide Table
HLQ,Sub_Category,Precision
HLQ,Bore_mm,6-25
HLQ,Range_Spec,Stroke: 10-150mm
HLQ,Mounting_Options,Through Hole
HLQ,Description,高精度滑台气缸，自带直线导轨，抗侧向载荷能力极强
SY3000,IS_A_CLASS,Valves
SY3000,Brand,SMC
SY3000,Category,Solenoid
SY3000,Type,Pilot Operated
SY3000,Function,"5/2, 5/3, 3/2"
SY3000,Voltage_Signal,"DC24V, AC220V"
SY3000,Port_Size,"M5, 1/8"
SY3000,Description,全球主流紧凑型电磁阀，体积小流量大，集装式设计
4V210,IS_A_CLASS,Valves
4V210,Brand,AirTAC
4V210,Category,Solenoid
4V210,Type,Pilot Operated
4V210,Function,5/2 Single/Double
4V210,Voltage_Signal,"DC24V, AC220V"
4V210,Port_Size,"1/8, 1/4"
4V210,Description,"中国市场""面包阀""，便宜耐用，控制双作用气缸"
4V230C,IS_A_CLASS,Valves
4V230C,Brand,AirTAC
4V230C,Category,Solenoid
4V230C,Type,Pilot Operated
4V230C,Function,5/3 Center Closed
4V230C,Voltage_Signal,"DC24V, AC220V"
4V230C,Port_Size,1/4
4V230C,Description,三位五通中封阀，用于气缸中途停止防止掉落
ITV1000,IS_A_CLASS,Valves
ITV1000,Brand,SMC
ITV1000,Category,Proportional
ITV1000,Type,Electro-Pneumatic
ITV1000,Function,Pressure Control
ITV1000,Voltage_Signal,"0-10V, 4-20mA"
ITV1000,Port_Size,"1/8, 1/4"
ITV1000,Description,电气比例阀，根据电信号无级调节气压，智能化控制核心
VM,IS_A_CLASS,Valves
VM,Brand,SMC
VM,Category,Mechanical
VM,Type,Plunger/Roller
VM,Function,2/3 Way
VM,Voltage_Signal,Manual Force
VM,Port_Size,1/4
VM,Description,机械阀，通过滚轮或柱塞触发，无需用电
